States,Q1,Q2,Q3,Q4,Q5
Australia,42.4,29.5,16.0,8.2,3.8
Austria,14.1,19.2,20.7,20.8,25.2
Belgium,23.4,25.0,19.7,15.4,16.3
Canada,26.4,24.0,20.3,17.3,12.0
Chile,17.2,21.3,18.5,21.8,21.3
Czech Republic,20.0,28.3,22.0,16.0,13.7
Denmark,34.2,32.1,16.6,10.5,6.7
Estonia,18.2,26.4,19.2,16.9,19.4
Finland,23.0,24.7,19.3,17.0,15.9
France,16.6,18.7,18.1,19.6,27.0
Germany,20.0,23.4,19.3,18.7,18.5
Greece,7.7,16.3,21.8,23.1,31.1
Hungary,15.3,20.8,22.3,21.1,19.4
Iceland,19.9,24.8,18.7,16.5,20.2
Ireland,17.8,22.2,20.7,16.7,22.6
Israel,22.6,23.4,20.0,17.5,16.5
Italy,9.0,16.5,19.5,21.1,33.9
Japan,13.9,24.6,24.5,20.0,17.1
Korea,24.2,16.8,16.5,17.9,24.6
Luxembourg,13.5,17.9,21.2,21.6,25.7
Mexico,8.8,9.6,10.5,15.2,55.9
Netherlands,28.8,26.2,18.1,14.8,12.5
New Zealand,21.4,24.9,21.0,18.2,14.5
Norway,39.8,26.3,16.2,10.7,7.0
Poland,14.4,19.8,22.6,23.1,20.1
Portugal,11.0,15.7,15.7,17.4,40.1
Slovak Republic,21.0,27.6,19.6,17.6,14.1
Slovenia,18.8,21.7,19.5,19.2,20.8
Spain,10.4,19.8,22.1,22.6,25.1
Sweden,27.8,26.4,17.9,14.7,13.2
Switzerland,30.1,22.5,18.9,15.9,12.6
Turkey,4.5,11.7,18.4,26.3,39.1
United Kingdom,26.1,30.0,22.0,13.9,8.0
United States,21.8,24.2,20.0,17.9,16.2
OECD,20.1,22.4,19.3,17.8,20.3
